City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,avarua,-21.2078,-159.775,26.03,89,20,5.66,CK,1712701218
170,manokwari,-0.8667,134.0833,26.07,81,88,2.17,ID,1712701218
171,acarau,-2.8856,-40.12,26.56,87,99,3.48,BR,1712701218
172,sukumo,32.9333,132.7333,9.61,79,7,1.53,JP,1712701218
173,greenville,35.6127,-77.3663,21.75,62,0,4.12,US,1712700979
174,ust-nera,64.5667,143.2,-11.11,95,79,1.86,RU,1712701219
175,guerrero negro,27.9769,-114.0611,20.75,46,0,6.99,MX,1712701067
176,al qusiyah,27.4402,30.8184,19.22,34,0,3.45,EG,1712701219
177,enewetak,11.3474,162.3373,27.16,81,100,9.24,MH,1712701220
178,coquimbo,-29.9533,-71.3436,15.86,86,41,3.15,CL,1712701022
179,calera,33.1029,-86.7536,18.21,96,100,0.89,US,1712700940
180,tarawa,1.419,172.984,28.05,83,100,6.17,KI,1712701122
181,filingue,14.3521,3.3168,35.6,19,100,3.04,NE,1712701220
182,kesinga,20.2,83.2333,27.2,46,44,0.57,IN,1712701220
183,northam,51.0333,-4.2167,8.67,89,13,5.37,GB,1712701221
184,jining,35.405,116.5814,12.8,96,93,2.86,CN,1712701221
185,el fuerte,26.4189,-108.6194,28.58,12,0,6.3,MX,1712701221
186,shubarkuduk,49.1447,56.4872,12.2,74,100,4.35,KZ,1712701221
187,ancud,-41.8697,-73.8203,10.74,68,54,4.04,CL,1712701221
188,brak,27.5496,14.2714,21.6,21,0,4.23,LY,1712701221
189,arno,60.1167,18.6333,3.21,92,100,3.8,SE,1712701222
190,masterton,-40.9597,175.6575,21.72,53,42,3.94,NZ,1712701222
191,ushuaia,-54.8,-68.3,4.81,65,75,10.8,AR,1712700937
192,rio grande,-32.035,-52.0986,25.06,88,51,4.79,BR,1712700982
193,houghton,47.1219,-88.569,10.62,78,75,6.17,US,1712701013
194,tiksi,71.6872,128.8694,-17.46,96,100,2.22,RU,1712701223
195,egilsstadir,65.2653,-14.3948,-0.05,80,100,5.14,IS,1712701223
196,mana,5.6592,-53.7767,27.11,80,100,3.32,GF,1712701223
197,brokopondo,4.75,-55.1667,29.88,65,78,5.1,SR,1712701223
198,san patricio,28.017,-97.5169,32.87,62,54,8.07,US,1712701223
199,peshtera,42.0333,24.3,9.44,52,32,2.36,BG,1712701224
200,west island,-12.1568,96.8225,26.99,74,40,6.69,CC,1712701224
201,ta`u,-14.2336,-169.5144,29.58,77,97,5.87,AS,1712701224
202,kalmunai,7.4167,81.8167,26.97,72,95,2.35,LK,1712701225
203,mineiros,-17.5694,-52.5511,21.96,92,100,0.9,BR,1712701097
204,nohar,29.1833,74.7667,25.8,14,6,3.61,IN,1712701225
205,coronel suarez,-37.4547,-61.9334,15.83,38,95,4.42,AR,1712701225
206,tual,-5.6667,132.75,27.62,76,100,1.46,ID,1712701225
207,bamboo flat,11.7,92.7167,26.73,78,100,2.04,IN,1712701226
208,merritt island,28.5392,-80.672,25.01,64,0,7.2,US,1712701226
209,borzya,50.3833,116.5167,-1.44,47,1,2.43,RU,1712701226
210,uturoa,-16.7333,-151.4333,28.88,76,97,5.28,PF,1712701227
211,laminusa,5.5549,120.9136,27.68,76,55,1.79,PH,1712701227
212,alice springs,-23.7,133.8833,16.23,59,3,2.06,AU,1712701227
213,mejit,10.2753,170.8646,26.97,85,94,9.26,MH,1712701070
214,vega de alatorre,20.0333,-96.6333,31.59,58,65,5.07,MX,1712701227
215,tamandare,-8.7597,-35.1047,26.35,86,98,3.93,BR,1712701228
216,vilyuysk,63.7553,121.6247,-11.67,97,52,2.68,RU,1712700957
217,yangambi,0.8102,24.4336,23.45,87,100,1.26,CD,1712701228
218,lagos,6.5833,3.75,29.18,83,36,2.33,NG,1712701200
219,nar'yan-mar,67.6713,53.087,-8.27,85,100,2.24,RU,1712701229
220,cururupu,-1.8283,-44.8683,24.62,94,96,0.93,BR,1712701229
